url,type,old_status,new_status,action,old_title,new_title,old_description,new_description,old_h1_count,new_h1_count,new_canonical
/,page,200,200,"migrated, URL unchanged","Cardboard Cups | Custom Printed Cups, Small Cups, Wholesale","Cardboard Cups | Custom Printed Cups, Small Cups, Wholesale","Order cardboard cups at wholesale prices. Choose custom printed designs, small to large sizes, and reliable packaging for cafes, events etc","Order cardboard cups at wholesale prices. Choose custom printed designs, small to large sizes, and reliable packaging for cafes, events etc",3,1,https://cardboardcups.com/
/404/,utility,-,404,"error page (noindex, not in sitemap)",,Page not found - Cardboard Cups,,The page you requested could not be found. Browse our cardboard cup range or request a free quote.,0,1,https://cardboardcups.com/404/
/about-us/,page,200,200,"migrated, URL unchanged",About Us - Cardboard Cups,About Us - Cardboard Cups,,"Cardboard Cups supplies durable, sustainable cardboard cups to cafés, food brands, offices, events and distributors across the USA, UK, Canada, Australia and Europe.",1,1,https://cardboardcups.com/about-us/
/brand/cardboard-cups/,page,200,301,redirect -> /shop/,Cardboard Cups Archives - Cardboard Cups,,,,1,0,
/brand/cardboard-cups/page/2/,page,200,301,redirect -> /shop/,Cardboard Cups Archives - Page 2 of 2 - Cardboard Cups,,,,1,0,
/cart/,page,200,301,redirect -> /get-free-quote/,,,,,0,0,
/checkout/,page,200,301,redirect -> /get-free-quote/,,,,,0,0,
/contact-us/,page,200,200,"migrated, URL unchanged",Contact Us - Cardboard Cups,Contact Us - Cardboard Cups,,"Contact Cardboard Cups for custom quotes, bulk pricing and product advice. Call (503) 358-0443 or email info@cardboardcups.com — we reply within 24 hours.",1,1,https://cardboardcups.com/contact-us/
/get-free-quote/,page,200,200,"migrated, URL unchanged",Get Free Quote - Cardboard Cups,Get Free Quote - Cardboard Cups,,"Request a free quote for custom printed cardboard cups, sleeves and baking cups. Tell us your size, quantity and print requirements and we reply within 24 hours.",0,1,https://cardboardcups.com/get-free-quote/
/my-account/,page,200,301,redirect -> /contact-us/,,,,,0,0,
/privacy-policy/,page,200,200,"migrated, URL unchanged",Privacy Policy - Cardboard Cups,Privacy Policy - Cardboard Cups,,"How Cardboard Cups collects, uses, protects and shares information when you visit our website or contact us for a quote.",1,1,https://cardboardcups.com/privacy-policy/
/product-category/baking-cups/,category,200,200,"migrated, URL unchanged",Baking Cups For Muffins And Cupcakes | Cardboard Cups,Baking Cups For Muffins And Cupcakes | Cardboard Cups,"Baking cups for muffins, cupcakes, mini cakes, and bakery portions with custom design, custom quote, print options, and free delivery in USA.","Baking cups for muffins, cupcakes, mini cakes, and bakery portions with custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product-category/baking-cups/
/product-category/cup-sleeves/,category,200,200,"migrated, URL unchanged",Cup Sleeves For Hot Drink Cups | Cardboard Cups,Cup Sleeves For Hot Drink Cups | Cardboard Cups,"Cup sleeves for hot drink cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.","Cup sleeves for hot drink cups with better grip, heat comfort, custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product-category/cup-sleeves/
/product-category/cup-types/,category,200,200,"migrated, URL unchanged",Cardboard Cups | All Cup Types | Eco-Friendly | Bulk Orders,Cardboard Cups | All Cup Types | Eco-Friendly | Bulk Orders,"Shop all cardboard cup types for coffee, tea, soup & food. Hot & cold drinks. Custom printing. Wholesale pricing. Ships to USA, UK & Australia.","Shop all cardboard cup types for coffee, tea, soup & food. Hot & cold drinks. Custom printing. Wholesale pricing. Ships to USA, UK & Australia.",3,1,https://cardboardcups.com/product-category/cup-types/
/product/cardboard-baking-cups/,product,200,200,"migrated, URL unchanged",Cardboard Baking Cups For Bakeries | Cardboard Cups,Cardboard Baking Cups For Bakeries | Cardboard Cups,"Cardboard baking cups for cupcakes, muffins, brownies, and desserts. Get custom design, custom quote, size options, and free delivery in USA.","Cardboard baking cups for cupcakes, muffins, brownies, and desserts. Get custom design, custom quote, size options, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-baking-cups/
/product/cardboard-coffee-cups-with-lids/,product,200,200,"migrated, URL unchanged",Cardboard Coffee Cups With Lids | Cardboard Cups,Cardboard Coffee Cups With Lids | Cardboard Cups,"Cardboard coffee cups with lids for hot drinks. Food safe board, secure lid fit, lining options, custom printing cardboard Cups today.","Cardboard coffee cups with lids for hot drinks. Food safe board, secure lid fit, lining options, custom printing cardboard Cups today.",3,1,https://cardboardcups.com/product/cardboard-coffee-cups-with-lids/
/product/cardboard-coffee-cups/,product,200,200,"migrated, URL unchanged",Cardboard Coffee Cups For Hot Drinks | Cardboard Cups,Cardboard Coffee Cups For Hot Drinks | Cardboard Cups,"Cardboard coffee cups for hot drinks, cafes, offices, and takeaway service with custom design, custom quote, print options, and free delivery in USA.","Cardboard coffee cups for hot drinks, cafes, offices, and takeaway service with custom design, custom quote, print options, and free delivery in USA.",3,1,https://cardboardcups.com/product/cardboard-coffee-cups/
